"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"12673","10","3","3","5","5","88","M","1","L","L","L","L","L","L","L","L","57","5","15","4","5","577220","2","1","2","1","2","2","1","1","3","64","6","0",25,52,45,60000
"12674","10","3","3","1","5","88","M","2","L","L","L","L","L","L","L","L","22","2","15","6","4","226410","1","1","1","1","1","1","2","1","1","22","2","0",35,52,45,90000
"12675","10","3","6","5","5","88","M","1","L","L","L","L","L","L","L","L","55","5","15","4","4","557330","3","2","3","1","2","3","1","1","2","64","6","0",21,52,50,52000
"12676","14","2","1","1","2","88","M","1","L","L","L","L","L","L","L","L","23","2","M","8","5","236800","1","1","1","1","1","1","1","1","1","11","1","2",24,52,32,37440
"12677","05","1","1","2","1","88","F","2","L","L","L","L","L","L","L","L","45","4","L","5","4","459240","1","1","1","1","1","2","1","1","1","48","4","9",30,35,20,17200
"12678","10","3","6","3","5","88","M","4","L","L","L","L","L","L","L","L","61","6","15","4","4","617880","2","1","2","2","1","2","1","1","3","61","6","4",27,50,32,100000
"12679","05","1","6","1","1","88","M","1","L","L","L","L","L","L","L","L","56","5","16","2","2","567350","1","1","1","1","1","1","1","1","1","56","5","4",24,52,40,66000
"12680","15","2","1","1","5","90","F","2","L","L","L","L","L","L","L","L","41","4","16","6","6","419230","1","1","1","1","2","1","1","3","1","41","4","2",27,52,40,79100
"12681","10","3","6","5","4","91","F","1","L","L","L","L","L","L","L","L","52","5","15","5","6","527250","1","1","1","1","2","1","1","1","2","52","5","1",24,52,43,114000
"12682","13","3","5","1","5","91","M","3","L","L","L","L","L","L","L","L","57","5","15","4","5","577240","1","1","1","1","2","2","2","1","1","56","5","9",30,52,40,70000
"12683","15","2","6","1","5","98","F","1","L","L","L","L","L","L","L","L","76","7","23","3","3","766900","1","1","2","2","2","2","1","1","2","75","7","3",23,52,40,40000
"12684","10","3","4","5","5","98","M","1","L","L","L","L","L","L","L","L","11","1","15","4","4","116730","2","1","2","1","2","2","1","2","2","64","6","2",22,52,40,90001
"12685","05","1","1","1","5","98","M","1","L","L","L","L","L","L","L","L","31","3","17","2","2","318730","2","1","2","1","2","2","1","1","1","32","3","0",25,52,40,28000
"12686","10","3","1","3","1","98","M","2","L","L","L","L","L","L","L","L","63","6","15","2","2","637540","1","2","1","1","2","1","2","2","2","22","2","3",24,52,40,75000
"12687","05","1","1","4","3","98","M","2","L","L","L","L","L","L","L","L","54","5","15","4","2","547280","1","1","1","2","1","2","1","2","2","54","5","3",29,52,40,133000
"12688","10","3","4","1","4","98","M","2","L","L","L","L","L","L","L","L","11","1","17","5","5","116710","1","1","1","1","1","1","1","1","1","11","1","7",35,52,40,120000
"12689","18","3","6","1","4","98","M","2","L","L","L","L","L","L","L","L","73","7","15","2","2","738620","2","1","1","1","2","1","1","1","1","41","4","5",33,52,50,143000
"12690","10","3","6","5","5","98","M","2","L","L","L","L","L","L","L","L","22","2","M","6","5","226420","1","1","2","2","1","2","1","1","1","54","5","6",28,52,40,102000
"12691","11","3","1","7","5","98","F","1","L","L","L","L","L","L","L","L","42","4","15","5","4","429280","1","1","2","2","1","2","1","1","2","77","7","2",22,52,40,48000
"12692","10","3","1","3","3","98","F","1","L","L","L","L","L","L","L","L","63","6","20","3","3","636720","1","1","3","1","1","2","1","1","3","11","1","0",20,52,40,82000
"12693","17","2","4","7","3","98","F","1","L","L","L","L","L","L","L","L","11","1","18","8","2","116740","1","1","1","1","1","1","1","1","2","11","1","0",24,52,8,69000
"12694","17","2","1","1","4","98","F","1","L","L","L","L","L","L","L","L","52","5","19","4","4","527250","1","1","1","1","2","1","1","1","1","57","5","4",29,52,40,115000
"12695","04","1","1","1","4","98","F","1","L","L","L","L","L","L","L","L","57","5","16","4","1","577240","2","1","2","2","3","2","1","2","1","57","5","1",24,52,60,37000
"12696","15","2","1","5","5","98","F","2","L","L","L","L","L","L","L","L","61","6","M","2","3","617900","2","1","1","2","2","2","1","2","2","22","2","10",33,52,40,78000
"12697","03","1","2","1","5","98","M","3","L","L","L","L","L","L","L","L","12","1","15","3","3","128420","1","1","1","1","1","1","1","1","2","18","1","9",34,36,60,122000
